outcome,model,term,estimate,std.error,statistic,p.value,L,U,RR,lci,uci
c_haz,m1,(Intercept),-5.517608304780348,0.8507182921616389,-6.485823045793856,1.032983532501344e-10,-7.185016157417159,-3.8502004521435356,"-5.52 	(-7.19, -3.85)",-7.185016157417159,-3.8502004521435356
c_haz,m1,p1_cumulative,-0.32303708184254726,0.08783605559535057,-3.6777275533721325,2.395735224151862e-4,-0.49519575080943434,-0.15087841287566015,"-0.32 	(-0.50, -0.15)",-0.49519575080943434,-0.15087841287566015
c_haz,m1,p2_cumulative,-0.2346899401722309,0.5151081274798103,-0.45561296289472664,0.6487022672074537,-1.244301870032659,0.7749219896881971,"-0.23 	(-1.24, 0.77)",-1.244301870032659,0.7749219896881971
c_haz,m1,factor(nfhs5_state)Chhattisgarh,-0.4672386037553466,0.2574331413952071,-1.8149901027624473,0.06962819398082719,-0.9718075608899526,0.03733035337925933,"-0.47 	(-0.97, 0.04)",-0.9718075608899526,0.03733035337925933
c_haz,m1,factor(nfhs5_state)Haryana,-0.5133186447559438,0.259325495333768,-1.9794376333698733,0.04786072275213212,-1.021596615610129,-0.005040673901758552,"-0.51 	(-1.02, -0.01)",-1.021596615610129,-0.005040673901758552
c_haz,m1,factor(nfhs5_state)Jharkhand,-0.7076316968404833,0.2523554900031935,-2.804106607038858,0.005079043143293729,-1.2022484572467427,-0.21301493643422403,"-0.71 	(-1.20, -0.21)",-1.2022484572467427,-0.21301493643422403
c_haz,m1,factor(nfhs5_state)Madhya Pradesh,-0.6908568680987468,0.2477530377061613,-2.788489999941446,0.005329813138668082,-1.176452822002823,-0.20526091419467063,"-0.69 	(-1.18, -0.21)",-1.176452822002823,-0.20526091419467063
c_haz,m1,factor(nfhs5_state)Nct Of Delhi,-0.12476818632010185,0.4391457547409614,-0.28411566085546874,0.7763419317189808,-0.9854938656123863,0.7359574929721825,"-0.12 	(-0.99, 0.74)",-0.9854938656123863,0.7359574929721825
c_haz,m1,factor(nfhs5_state)Odisha,-0.5860825664906502,0.25005397587229766,-2.343824226134129,0.01915402008302768,-1.0761883592003536,-0.09597677378094677,"-0.59 	(-1.08, -0.10)",-1.0761883592003536,-0.09597677378094677
c_haz,m1,factor(nfhs5_state)Puducherry,-1.6787694465215308,0.46519218423286507,-3.608765373584126,3.128340295227532e-4,-2.5905461276179462,-0.7669927654251153,"-1.68 	(-2.59, -0.77)",-2.5905461276179462,-0.7669927654251153
c_haz,m1,factor(nfhs5_state)Punjab,-0.47705752031927845,0.23797169232626333,-2.0046817991495574,0.04508942693309434,-0.9434820372787546,-0.010633003359802329,"-0.48 	(-0.94, -0.01)",-0.9434820372787546,-0.010633003359802329
c_haz,m1,factor(nfhs5_state)Rajasthan,-1.0276577751950395,0.2501695140884802,-4.107845749868533,4.10364004239272e-5,-1.5179900228084606,-0.5373255275816183,"-1.03 	(-1.52, -0.54)",-1.5179900228084606,-0.5373255275816183
c_haz,m1,factor(nfhs5_state)Tamil Nadu,-0.6476135253827242,0.2920744053557505,-2.2172895450867127,0.026680199965779534,-1.2200793598799953,-0.07514769088545314,"-0.65 	(-1.22, -0.08)",-1.2200793598799953,-0.07514769088545314
c_haz,m1,factor(nfhs5_state)Uttar Pradesh,-0.577048288406266,0.24577372720430304,-2.3478843526939968,0.018946914098096863,-1.0587647937267,-0.09533178308583201,"-0.58 	(-1.06, -0.10)",-1.0587647937267,-0.09533178308583201
c_haz,m1,factor(nfhs5_state)Uttarakhand,-0.325264949836911,0.2989534790501238,-1.088011923695913,0.2766798223811661,-0.9112137687751537,0.2606838691013317,"-0.33 	(-0.91, 0.26)",-0.9112137687751537,0.2606838691013317
c_haz,m1,pc1,-0.01842525971907717,0.02436679688867631,-0.7561625684022392,0.4496128555439477,-0.06618418162088273,0.029333662182728395,"-0.02 	(-0.07, 0.03)",-0.06618418162088273,0.029333662182728395
c_haz,m1,factor(c_measurementmonth)2,-0.164842312531541,0.08586112205551187,-1.919871399129461,0.054971670507811876,-0.33313011176034424,0.0034454866972622733,"-0.16 	(-0.33, 0.00)",-0.33313011176034424,0.0034454866972622733
c_haz,m1,factor(c_measurementmonth)3,-0.1477376522820643,0.09014248549288736,-1.6389347539537442,0.10133479925447161,-0.32441692384812354,0.028941619283994913,"-0.15 	(-0.32, 0.03)",-0.32441692384812354,0.028941619283994913
c_haz,m1,factor(c_measurementmonth)4,0.3697501297998822,0.12831857101169303,2.8815013047970175,0.003986792312816515,0.11824573061696386,0.6212545289828005,"0.37 	(0.12, 0.62)",0.11824573061696386,0.6212545289828005
c_haz,m1,factor(c_measurementmonth)5,0.2129277309193378,0.18704022692120115,1.1384060767261734,0.2550445409955577,-0.15367111384621646,0.5795265756848921,"0.21 	(-0.15, 0.58)",-0.15367111384621646,0.5795265756848921
c_haz,m1,factor(c_measurementmonth)11,0.9457951725041948,0.5148057985129657,1.8371882664028973,0.06628388242293641,-0.06322419258121792,1.9548145375896073,"0.95 	(-0.06, 1.95)",-0.06322419258121792,1.9548145375896073
c_haz,m1,factor(c_measurementmonth)12,-0.13836813814821322,0.14990973354935305,-0.9230096997181299,0.35607856783478764,-0.43219121590494525,0.15545493960851878,"-0.14 	(-0.43, 0.16)",-0.43219121590494525,0.15545493960851878
c_haz,m1,"c_age2mo[2,4)",-0.029537864777218023,0.08457569368272799,-0.34924767969417475,0.7269286086071547,-0.19530622439536488,0.13623049484092886,"-0.03 	(-0.20, 0.14)",-0.19530622439536488,0.13623049484092886
c_haz,m1,"c_age2mo[4,6)",0.16630619758876358,0.08320794741338475,1.9986816495128654,0.04573555078308167,0.0032186206585294863,0.32939377451899765,"0.17 	(0.00, 0.33)",0.0032186206585294863,0.32939377451899765
c_haz,m1,"c_age2mo[6,8)",0.22475491981515333,0.10978907302198554,2.047151994535427,0.04073266635594706,0.009568336692061669,0.43994150293824497,"0.22 	(0.01, 0.44)",0.009568336692061669,0.43994150293824497
c_haz,m1,m_age,-0.004232656552388598,0.0070693678769917214,-0.5987319695392271,0.5493981727415957,-0.01808861759129237,0.009623304486515176,"-0.00 	(-0.02, 0.01)",-0.01808861759129237,0.009623304486515176
c_haz,m1,m_eduyr,0.026959742197033468,0.006561507102379012,4.1087728438575715,4.0872986001349745e-5,0.014099188276370606,0.03982029611769633,"0.03 	(0.01, 0.04)",0.014099188276370606,0.03982029611769633
c_haz,m1,m_height,0.03626979049849511,0.005385170664090368,6.735123687045041,1.9655924477543594e-11,0.02571485599687799,0.04682472500011223,"0.04 	(0.03, 0.05)",0.02571485599687799,0.04682472500011223
c_haz,m1,m_casteOBC,-0.16352315565223122,0.09794409788863083,-1.6695559934419764,0.09511465318328548,-0.35549358751394766,0.0284472762094852,"-0.16 	(-0.36, 0.03)",-0.35549358751394766,0.0284472762094852
c_haz,m1,m_casteSchedule Caste,-0.20597261402181208,0.10650642630165148,-1.9338984620369173,0.05322233527341601,-0.414725209573049,0.0027799815294248242,"-0.21 	(-0.41, 0.00)",-0.414725209573049,0.0027799815294248242
c_haz,m1,m_casteSchedule Tribe,-0.20522702854797958,0.13184292953194982,-1.556602460795946,0.11967349219445282,-0.4636391704306012,0.05318511333464204,"-0.21 	(-0.46, 0.05)",-0.4636391704306012,0.05318511333464204
