outcome,model,term,estimate,std.error,statistic,p.value,L,U,RR,lci,uci
c_haz,m1,(Intercept),-5.831667721350834,0.6229744807239047,-9.361005790436804,1.1459369867932535e-20,-7.052697703569687,-4.61063773913198,"-5.83 	(-7.05, -4.61)",-7.052697703569687,-4.61063773913198
c_haz,m1,p1_cumulative,-0.19384581039101545,0.06829276675602337,-2.838453025099007,0.004550794189673426,-0.32769963323282125,-0.05999198754920965,"-0.19 	(-0.33, -0.06)",-0.32769963323282125,-0.05999198754920965
c_haz,m1,p2_cumulative,0.4336724829511044,0.35717982380448177,1.2141572789074846,0.22474262841555678,-0.26639997170567986,1.1337449376078887,"0.43 	(-0.27, 1.13)",-0.26639997170567986,1.1337449376078887
c_haz,m1,factor(nfhs5_state)Chhattisgarh,-0.5215496688004643,0.18844441532671047,-2.7676578682166912,0.0056659811683607425,-0.8909007228408168,-0.15219861476011176,"-0.52 	(-0.89, -0.15)",-0.8909007228408168,-0.15219861476011176
c_haz,m1,factor(nfhs5_state)Haryana,-0.5417422819364656,0.19582606442034986,-2.7664462518819266,0.005687047084016912,-0.9255613682003513,-0.15792319567257984,"-0.54 	(-0.93, -0.16)",-0.9255613682003513,-0.15792319567257984
c_haz,m1,factor(nfhs5_state)Jharkhand,-0.6602253128925971,0.18386640361478643,-3.5907882022635165,3.3271280465120405e-4,-1.0206034639775785,-0.2998471618076157,"-0.66 	(-1.02, -0.30)",-1.0206034639775785,-0.2998471618076157
c_haz,m1,factor(nfhs5_state)Madhya Pradesh,-0.6148488336880623,0.1798435399724975,-3.4187985500179092,6.337989603410107e-4,-0.9673421720341574,-0.2623554953419672,"-0.61 	(-0.97, -0.26)",-0.9673421720341574,-0.2623554953419672
c_haz,m1,factor(nfhs5_state)Nct Of Delhi,-0.20973888761741052,0.38067620581110667,-0.5509640067219855,0.5816819415564924,-0.9558642510071796,0.5363864757723585,"-0.21 	(-0.96, 0.54)",-0.9558642510071796,0.5363864757723585
c_haz,m1,factor(nfhs5_state)Odisha,-0.5603793547719456,0.18661083319737515,-3.002930457843472,0.00268661674382215,-0.9261365878388008,-0.1946221217050903,"-0.56 	(-0.93, -0.19)",-0.9261365878388008,-0.1946221217050903
c_haz,m1,factor(nfhs5_state)Puducherry,-1.0555975813397063,0.7538421218329843,-1.4002899954343182,0.16148596349935856,-2.533128140132355,0.4219329774529428,"-1.06 	(-2.53, 0.42)",-2.533128140132355,0.4219329774529428
c_haz,m1,factor(nfhs5_state)Punjab,-0.6853931119872294,0.1837902800529267,-3.729213056260943,1.9411639047647457e-4,-1.0456220608909657,-0.3251641630834931,"-0.69 	(-1.05, -0.33)",-1.0456220608909657,-0.3251641630834931
c_haz,m1,factor(nfhs5_state)Rajasthan,-0.9710229402931025,0.18740406269727825,-5.1814401796701555,2.2846734990483744e-7,-1.338334903179768,-0.6037109774064372,"-0.97 	(-1.34, -0.60)",-1.338334903179768,-0.6037109774064372
c_haz,m1,factor(nfhs5_state)Tamil Nadu,-0.6848159984696867,0.2084409231854538,-3.2854200989140363,0.0010250289872924638,-1.0933602079131761,-0.27627178902619726,"-0.68 	(-1.09, -0.28)",-1.0933602079131761,-0.27627178902619726
c_haz,m1,factor(nfhs5_state)Uttar Pradesh,-0.5506630264275588,0.18052081133210113,-3.0504129821049455,0.0022967478047430947,-0.904483816638477,-0.1968422362166406,"-0.55 	(-0.90, -0.20)",-0.904483816638477,-0.1968422362166406
c_haz,m1,factor(nfhs5_state)Uttarakhand,-0.33697859194169394,0.21628870541781167,-1.558003647443087,0.1192930400626775,-0.7609044545606047,0.08694727067721691,"-0.34 	(-0.76, 0.09)",-0.7609044545606047,0.08694727067721691
c_haz,m1,pc1,0.010232727523970619,0.019900041563506023,0.5142063392840371,0.607129515994294,-0.028771353940501183,0.049236808988442425,"0.01 	(-0.03, 0.05)",-0.028771353940501183,0.049236808988442425
c_haz,m1,factor(c_measurementmonth)2,-0.12969239221984064,0.06522921532498029,-1.9882562065739495,0.04683553300086341,-0.257541654256802,-0.0018431301828792657,"-0.13 	(-0.26, -0.00)",-0.257541654256802,-0.0018431301828792657
c_haz,m1,factor(c_measurementmonth)3,-0.14145784598958772,0.06600546332649995,-2.1431232940500404,0.032149317373563455,-0.2708285541095276,-0.012087137869647824,"-0.14 	(-0.27, -0.01)",-0.2708285541095276,-0.012087137869647824
c_haz,m1,factor(c_measurementmonth)4,0.10127848179947467,0.092061708787525,1.1001151633326907,0.2713327070525178,-0.07916246742407433,0.28171943102302366,"0.10 	(-0.08, 0.28)",-0.07916246742407433,0.28171943102302366
c_haz,m1,factor(c_measurementmonth)5,-2.0616654985648455,1.9144080503164147,-1.076920616910325,0.2815655268763284,-5.813905277185018,1.6905742800553272,"-2.06 	(-5.81, 1.69)",-5.813905277185018,1.6905742800553272
c_haz,m1,factor(c_measurementmonth)11,0.5561679543414262,0.3968856565822157,1.4013304464839353,0.16117476462543584,-0.22172793255971657,1.334063841242569,"0.56 	(-0.22, 1.33)",-0.22172793255971657,1.334063841242569
