e_interaction,year_categories,m_rural,daterange,n,term2
1,2010-15 P1,0,01-03-2010 to 20-03-2015,28642,Table Order 01
1,2015 P2,0,08-09-2015 to 16-09-2015,181,Table Order 01
1,2016,0,06-03-2016 to 10-09-2016,330,Table Order 01
1,2017,0,02-03-2017 to 09-03-2017,86,Table Order 01
1,2018,0,23-11-2017 to 31-12-2018,3677,Table Order 01
1,2019-20,0,01-01-2019 to 02-03-2020,1812,Table Order 01
6,2010-15 P1,0,01-04-2017 to 31-10-2017,2621,Table Order 02
6,2017,0,10-03-2017 to 31-03-2017,214,Table Order 02
6,2018,0,01-11-2017 to 22-11-2017,292,Table Order 02
5,2010-15 P1,0,01-01-2017 to 28-02-2017,682,Table Order 03
5,2016,0,11-09-2016 to 31-12-2016,1531,Table Order 03
5,2017,0,01-03-2017 to 01-03-2017,16,Table Order 03
4,2016,0,15-03-2016 to 01-09-2016,2636,Table Order 04
3,2015 P2,0,17-09-2015 to 31-12-2015,1759,Table Order 05
3,2016,0,01-01-2016 to 05-03-2016,1307,Table Order 05
2,2010-15 P1,0,21-03-2015 to 31-03-2015,193,Table Order 06
2,2015 P2,0,01-04-2015 to 07-09-2015,2598,Table Order 06
15,2010-15 P1,0,01-01-2021 to 12-04-2021,178,Table Order 07
15,2019-20,0,02-09-2020 to 31-12-2020,781,Table Order 07
14,2019-20,0,23-07-2020 to 01-09-2020,273,Table Order 08
13,2019-20,0,05-03-2020 to 22-07-2020,823,Table Order 09
12,2019-20,0,25-01-2020 to 04-03-2020,231,Table Order 10
11,2019-20,0,07-09-2019 to 24-01-2020,1021,Table Order 11
10,2019-20,0,29-07-2019 to 06-09-2019,317,Table Order 12
9,2019-20,0,11-03-2019 to 28-07-2019,881,Table Order 13
8,2019-20,0,30-01-2019 to 10-03-2019,268,Table Order 14
7,2018,0,03-08-2018 to 31-12-2018,1160,Table Order 15
7,2019-20,0,01-01-2019 to 29-01-2019,217,Table Order 15
1,2010-15 P1,1,02-02-2010 to 20-03-2015,84800,Table Order 01
1,2015 P2,1,08-09-2015 to 16-09-2015,510,Table Order 01
1,2016,1,06-03-2016 to 10-09-2016,1068,Table Order 01
1,2017,1,02-03-2017 to 09-03-2017,374,Table Order 01
1,2018,1,23-11-2017 to 31-12-2018,13989,Table Order 01
1,2019-20,1,01-01-2019 to 16-03-2020,7706,Table Order 01
6,2010-15 P1,1,01-04-2017 to 31-10-2017,10268,Table Order 02
6,2017,1,10-03-2017 to 31-03-2017,813,Table Order 02
6,2018,1,01-11-2017 to 22-11-2017,1072,Table Order 02
5,2010-15 P1,1,01-01-2017 to 28-02-2017,2674,Table Order 03
5,2016,1,11-09-2016 to 31-12-2016,5422,Table Order 03
5,2017,1,01-03-2017 to 01-03-2017,42,Table Order 03
4,2016,1,15-03-2016 to 01-09-2016,9834,Table Order 04
3,2015 P2,1,17-09-2015 to 31-12-2015,5517,Table Order 05
3,2016,1,01-01-2016 to 05-03-2016,4111,Table Order 05
2,2010-15 P1,1,21-03-2015 to 31-03-2015,537,Table Order 06
2,2015 P2,1,01-04-2015 to 07-09-2015,9039,Table Order 06
15,2010-15 P1,1,01-01-2021 to 17-04-2021,991,Table Order 07
15,2019-20,1,02-09-2020 to 31-12-2020,3513,Table Order 07
14,2019-20,1,23-07-2020 to 01-09-2020,1216,Table Order 08
13,2019-20,1,05-03-2020 to 22-07-2020,3370,Table Order 09
12,2019-20,1,25-01-2020 to 04-03-2020,1033,Table Order 10
11,2019-20,1,07-09-2019 to 24-01-2020,4129,Table Order 11
10,2019-20,1,29-07-2019 to 06-09-2019,1164,Table Order 12
9,2019-20,1,11-03-2019 to 28-07-2019,3453,Table Order 13
8,2019-20,1,30-01-2019 to 10-03-2019,1035,Table Order 14
7,2018,1,03-08-2018 to 31-12-2018,4614,Table Order 15
7,2019-20,1,01-01-2019 to 29-01-2019,820,Table Order 15
