term,Urban_Stunting,Urban_Underweight,Urban_Wasting,Rural_Stunting,Rural_Underweight,Rural_Wasting,daterange,term2
10,"0.88 (0.8, 0.96)","0.98 (0.89, 1.08)","1.09 (0.96, 1.23)","0.92 (0.88, 0.95)","0.95 (0.91, 0.99)","0.94 (0.89, 1)",01-04-2017 to 22-12-2017,Table Order 02
9,"1 (0.86, 1.17)","0.99 (0.82, 1.21)","0.92 (0.69, 1.23)","0.96 (0.9, 1.02)","1.05 (0.98, 1.13)","1.01 (0.89, 1.15)",08-02-2017 to 31-03-2017,Table Order 03
8,"0.89 (0.8, 0.99)","0.91 (0.79, 1.04)","0.89 (0.75, 1.05)","0.87 (0.83, 0.91)","0.93 (0.89, 0.98)","0.99 (0.91, 1.07)",02-10-2016 to 07-02-2017,Table Order 04
7,"0.9 (0.76, 1.05)","0.83 (0.68, 1.02)","0.86 (0.64, 1.16)","0.88 (0.82, 0.94)","0.9 (0.84, 0.97)","0.92 (0.82, 1.03)",12-08-2016 to 01-10-2016,Table Order 05
6,"0.94 (0.85, 1.05)","0.99 (0.88, 1.11)","0.99 (0.86, 1.14)","0.9 (0.86, 0.94)","0.96 (0.91, 1)","0.93 (0.87, 1)",05-04-2016 to 11-08-2016,Table Order 06
5,"0.94 (0.82, 1.09)","1.04 (0.91, 1.19)","0.97 (0.81, 1.16)","0.94 (0.89, 1)","0.94 (0.88, 1)","0.92 (0.84, 1)",14-02-2016 to 04-04-2016,Table Order 07
4,"0.97 (0.87, 1.07)","1.07 (0.96, 1.18)","1.11 (0.99, 1.24)","0.98 (0.94, 1.03)","1.03 (0.98, 1.08)","0.98 (0.92, 1.04)",08-10-2015 to 13-02-2016,Table Order 08
3,"0.95 (0.82, 1.11)","1.09 (0.94, 1.26)","1.21 (1.02, 1.44)","0.96 (0.89, 1.02)","1 (0.93, 1.06)","0.9 (0.83, 0.99)",18-08-2015 to 07-10-2015,Table Order 09
2,"0.93 (0.86, 1.02)","0.96 (0.88, 1.06)","1.11 (1, 1.22)","0.97 (0.94, 1.01)","1.04 (1, 1.08)","1.03 (0.99, 1.08)",19-02-2015 to 17-08-2015,Table Order 10
19,"0.98 (0.8, 1.2)","1 (0.82, 1.22)","1.03 (0.84, 1.25)","1.13 (1.02, 1.24)","1.2 (1.07, 1.34)","0.95 (0.87, 1.04)",02-10-2020 to 17-04-2021,Table Order 11
18,"0.88 (0.68, 1.14)","0.94 (0.73, 1.21)","0.92 (0.73, 1.17)","1.03 (0.94, 1.13)","0.97 (0.89, 1.06)","0.89 (0.81, 0.97)",23-06-2020 to 01-10-2020,Table Order 12
17,"1.11 (0.88, 1.41)","1.08 (0.86, 1.37)","0.91 (0.71, 1.16)","1.09 (0.99, 1.21)","1.04 (0.93, 1.15)","0.91 (0.81, 1.02)",04-04-2020 to 22-06-2020,Table Order 13
16,"1 (0.81, 1.23)","1.03 (0.8, 1.33)","0.9 (0.67, 1.19)","1 (0.92, 1.08)","0.95 (0.87, 1.04)","0.82 (0.73, 0.91)",26-12-2019 to 03-04-2020,Table Order 14
15,"1 (0.82, 1.23)","0.9 (0.72, 1.13)","0.81 (0.62, 1.05)","1.03 (0.96, 1.1)","0.96 (0.88, 1.04)","0.86 (0.77, 0.96)",07-10-2019 to 25-12-2019,Table Order 15
14,"0.91 (0.77, 1.07)","0.84 (0.69, 1.03)","0.79 (0.63, 1)","0.98 (0.92, 1.04)","1.02 (0.95, 1.1)","0.9 (0.8, 1)",29-06-2019 to 06-10-2019,Table Order 16
13,"0.92 (0.77, 1.1)","0.98 (0.78, 1.23)","0.89 (0.66, 1.2)","0.98 (0.92, 1.05)","0.98 (0.89, 1.07)","0.9 (0.78, 1.03)",10-04-2019 to 28-06-2019,Table Order 17
12,"1.18 (1.02, 1.36)","1.1 (0.93, 1.29)","0.86 (0.66, 1.13)","1.04 (0.98, 1.11)","1.04 (0.97, 1.13)","0.92 (0.82, 1.04)",31-12-2018 to 09-04-2019,Table Order 18
11,"0.86 (0.75, 0.99)","0.95 (0.83, 1.1)","0.93 (0.76, 1.13)","0.89 (0.84, 0.94)","0.95 (0.89, 1.01)","0.84 (0.76, 0.92)",04-07-2018 to 30-12-2018,Table Order 19
